"BusinessId","Stars","ReviewCount","PriceRange","WiFi","BikeParking","BusinessParking","WheelchairAccessible","DogsAllowed","AcceptsCreditCards","AcceptsBitcoin","TableService","Delivery","TakeOut","Caters","Reservations","OutdoorSeating","GoodForGroups","Ambience","Attire","Alcohol","HappyHour","HasTV","NoiseLevel","GoodForMeal","Categories"
"3r5DmtmjNAv0g7T7RmZb7Q","3","7","1","u'no'","","","","","","","","True","True","True","False","False","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","u'casual'","u'none'","","True","u'quiet'","","Fast Food, Restaurants, Sandwiches"
"K6xImaXTGgQ_p4OwMPPuQw","2.5","52","1","u'free'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","","","True","True","True","False","False","False","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","'casual'","u'none'","","True","u'quiet'","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Taiwanese, Restaurants, Coffee & Tea, Bubble Tea, Food"
"DtBXDCG_EaEyM4qrdXkQbA","4","16","2","'no'","","","","","","","True","False","True","","True","","True","","'casual'","","","True","","","Food, Restaurants, Desserts, Indian"
"JSyZ923gqxPUXmKnJ8NOKw","3","79","2","'no'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","","","","False","True","True","False","False","False","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","u'casual'","u'none'","","True","u'loud'","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","Sushi Bars, Restaurants"
"dg330bwIZ0mzo3Rddt1lOQ","2.5","104","2","u'no'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","","","","True","True","True","True","False","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","u'casual'","u'beer_and_wine'","","True","'average'","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","Japanese, Restaurants, Sushi Bars"
"HfPSUdDMaVYdqIgaKU7GFQ","3.5","104","2","u'no'","False","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","","","","True","False","True","False","True","False","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","u'casual'","u'beer_and_wine'","","True","u'average'","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}","Restaurants, Korean"
"tLxkEkhygYhu4Pyz8SV2HA","4.5","5","","","","","","","","","","False","True","","False","","False","","","","","","","","Restaurants, Middle Eastern"
"lA901Jv5mtdFdj5sNiqdgg","4","8","","u'no'","","","","","","","","False","True","True","False","","False","","'casual'","u'none'","","","u'average'","","Restaurants, Delis, Sandwiches"
"YOgtJmm9DG0vANAe8ZKsYQ","3.5","29","2","'free'","","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","","","True","False","True","","True","True","True","{'touristy': None, 'hipster': None, 'romantic': None, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}","'casual'","u'full_bar'","True","True","u'very_loud'","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","Pizza, Burgers, Pubs, Nightlife, Bars, Restaurants, Canadian (New)"
"Ty7lXYGePeSSCPy_gv61HA","2","5","2","","","","","","","","","False","","","False","","False","","","","","","","","Delis, Restaurants, Sandwiches"
